k,phi_DF,phi_EPE,phi_PD_cpty,delta_leg,check(phi_sum-delta)
0,0,0,0,0,0
1,0,0.811631934993,-0.0693123736467,0.742319561347,0
2,0,1.06148562679,-0.159072445638,0.902413181148,0
3,0,-11.196510697,-0.14343778294,-11.3399484799,0
4,0,-10.9467469618,-0.131654515799,-11.0784014776,1.7763568394e-15
5,0,-10.5146168413,-0.0515862823474,-10.5662031236,0
6,0,14.1611827761,0.00198504967312,14.1631678258,0
7,0,14.196491046,-0.130579693939,14.065911352,-1.7763568394e-15
8,0,14.5729718336,-0.228114339426,14.3448574942,1.7763568394e-15
9,0,-9.01948275103,-0.0701805472859,-9.08966329831,0
10,0,-8.76336275759,0.124677820857,-8.63868493673,0
11,0,-8.8392903731,0.176389017329,-8.66290135578,0
12,0,12.7358698316,0.174783313748,12.9106531453,0
13,0,13.5028072975,0.176257475006,13.6790647725,1.7763568394e-15
14,0,13.3966920048,0.256475759671,13.6531677645,1.7763568394e-15
15,0,-7.90690450265,0.312991250478,-7.59391325217,0
16,0,-8.27294462245,0.344571186715,-7.92837343573,0
17,0,-8.04628561636,0.344314344213,-7.70197127215,0
18,0,11.3322206246,0.205510975882,11.5377316004,-1.7763568394e-15
19,0,11.5066125992,0.141771164649,11.6483837639,1.7763568394e-15
20,0,11.3942345961,0.0781197996008,11.4723543957,-1.7763568394e-15
21,0,-7.26875333133,-0.013541411133,-7.28229474247,0
22,0,-7.53296982214,-0.078217538617,-7.61118736075,0
23,0,-8.3768558594,-0.122126090919,-8.49898195032,0
24,0,9.11065281428,-0.112618525053,8.99803428923,0
25,0,9.30877460119,-0.0948148188718,9.21395978232,0
26,0,9.59033526568,-0.0491563954753,9.5411788702,1.7763568394e-15
27,0,-7.28258811987,0.00580963347888,-7.27677848639,8.881784197e-16
28,0,-7.67748708298,-0.0254986820163,-7.702985765,0
29,0,-7.91749329076,-0.0464518444572,-7.96394513522,-8.881784197e-16
30,0,8.07361076735,-0.000203318439285,8.07340744891,1.7763568394e-15
31,0,8.52851953503,0.0611223556446,8.58964189067,1.7763568394e-15
32,0,8.7881952242,0.0887173094528,8.87691253365,0
33,0,-6.52672313339,0.0275980402543,-6.49912509313,0
34,0,-6.93521235517,-0.00552986210081,-6.94074221727,8.881784197e-16
35,0,-7.82894540228,-0.0263221570516,-7.85526755933,0
36,0,6.5476774222,-0.0500369106212,6.49764051158,0
37,0,6.66812661519,-0.0470930176259,6.62103359756,-8.881784197e-16
38,0,6.81449309299,0.0294860993009,6.84397919229,-8.881784197e-16
39,0,-7.76252724986,0.0543134282507,-7.70821382161,0
40,0,-8.17792867467,0.0800486754581,-8.09787999921,0
41,0,-8.57369530028,0.151389700977,-8.4223055993,0
42,0,5.26587496058,0.14678771962,5.4126626802,0
43,0,5.60217730312,0.150194418282,5.7523717214,0
44,0,6.05657621256,0.149958284255,6.20653449681,-8.881784197e-16
45,0,-8.13156982156,0.0763609751828,-8.05520884638,1.7763568394e-15
46,0,-8.53208811467,0.0392355172076,-8.49285259746,0
47,0,-9.13535419421,0.00789654201679,-9.12745765219,0
48,0,4.48174564736,0.00265382109808,4.48439946845,0
49,0,5.4812184886,0.0241435011586,5.50536198976,8.881784197e-16
50,0,6.48197762675,0.0498513583061,6.53182898506,0
51,0,-8.06481130923,0.0481816231153,-8.01662968612,0
52,0,-8.87804194753,0.0581307715843,-8.81991117595,0
53,0,-9.42319135254,0.0593025084457,-9.36388884409,1.7763568394e-15
54,0,5.5691025873,0.030883144361,5.59998573166,0
55,0,7.81713515961,0.0115309496907,7.8286661093,0
56,0,9.81477022245,-0.0250078667094,9.78976235574,0
57,0,-9.67094998414,-0.00782334884887,-9.67877333299,1.7763568394e-15
58,0,-13.0090418313,-0.00847134090428,-13.0175131722,1.7763568394e-15
59,0,-16.6676440903,-0.00237166369387,-16.6700157539,0
60,0,0,0,0,0
TOTAL,0,-18.206853673,1.9922207614,-16.2146329116,1.50990331349e-14
