k,DVA_leg_sum
0,0
1,29.7567326234
2,31.1390126517
3,32.3786876496
4,33.8091148787
5,35.1095121741
6,28.0120967977
7,29.0493127926
8,30.0046068288
9,30.9880297851
10,31.7376490292
11,32.5723129024
12,27.0855183256
13,27.408959299
14,27.9841543925
15,28.420920991
16,29.0746424821
17,29.5600271202
18,25.360152273
19,25.4843561679
20,25.5054842162
21,25.6934722863
22,25.8102355354
23,26.3436586561
24,23.1118277724
25,22.9861830867
26,22.9758363663
27,22.8485249325
28,22.8517986621
29,22.8867572833
30,20.6239412292
31,20.167612457
32,19.8329463193
33,19.6472672112
34,19.4149744981
35,19.477456464
36,17.7298002107
37,17.3248270866
38,16.9521798896
39,16.6646429413
40,16.5342512003
41,16.4456804398
42,14.9451818378
43,14.197612359
44,13.6971030812
45,13.2142286644
46,12.8368709315
47,12.6719802797
48,11.0436880093
49,10.0591016412
50,9.2763946035
51,8.77654570942
52,8.61020986043
53,8.72822592532
54,6.11884323039
55,5.02168011888
56,4.4157370505
57,4.6184897617
58,5.77496982645
59,7.35641503125
60,0
