k,CVA_leg_sum
0,0
1,58.6882178639
2,63.7225562119
3,68.3118921345
4,73.3101626705
5,77.6016068814
6,61.1807982731
7,64.5910986724
8,67.8367879222
9,70.7490532454
10,73.0270261454
11,75.51929008
12,64.1911716629
13,65.2238555198
14,66.9305363928
15,68.1042754084
16,70.0097201172
17,71.5202769577
18,64.1468797436
19,64.3917565481
20,64.181334716
21,64.4960527184
22,64.5763689057
23,66.0264528841
24,61.773711679
25,60.9317370322
26,60.524146086
27,59.7220213489
28,59.4044310089
29,59.1968966288
30,57.5660214024
31,55.5576983946
32,53.9704738158
33,52.9705104535
34,51.6547079293
35,51.3605483396
36,51.3650314499
37,49.4909038827
38,47.7400273793
39,46.2914644608
40,45.2920951432
41,44.3422760249
42,45.0000778557
43,41.9304028397
44,39.6651625786
45,37.3404951969
46,35.4663076155
47,34.2667188909
48,34.2904556688
49,30.3403123029
50,27.0610361391
51,24.7310905646
52,23.4671144929
53,23.2038957859
54,19.622086226
55,15.1778082579
56,12.3630562216
57,12.3004581206
58,15.6503404097
59,20.6246370644
60,0
