k,DF
0,1
1,0.99918043499
2,0.998386589122
3,0.997615853161
4,0.996865767605
5,0.996134015161
6,0.995418413623
7,0.994716909123
8,0.994027569738
9,0.993348579418
10,0.992678232231
11,0.992014926891
12,0.991357161562
13,0.990703528919
14,0.990052711447
15,0.989403476973
16,0.988754674409
17,0.988105229703
18,0.987454141977
19,0.986800479848
20,0.98614337793
21,0.985482033486
22,0.984815703244
23,0.98414370036
24,0.983465391519
25,0.982780194168
26,0.98208757388
27,0.981387041834
28,0.980678152416
29,0.979960500921
30,0.979233721367
31,0.978497484408
32,0.977751495338
33,0.97699549219
34,0.976229243918
35,0.975452548669
36,0.974665232126
37,0.973867145934
38,0.973058166191
39,0.972238192019
40,0.971407144192
41,0.97056496383
42,0.96971161116
43,0.968847064328
44,0.967971318267
45,0.967084383624
46,0.966186285738
47,0.965277063658
48,0.964356769218
49,0.963425466154
50,0.962483229261
51,0.961530143598
52,0.960566303724
53,0.959591812976
54,0.95860678279
55,0.957611332042
56,0.956605586436
57,0.955589677916
58,0.954563744109
59,0.953527927805
60,0.952482376451
